"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","2","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","getOrderDetailByOrderId","getOrderDetailByOrderId()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","602","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","getOrderByUserId","getOrderByUserId()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","4","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","postOrder_01","postOrder_01()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","3","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","postOrder_04","postOrder_04()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","9","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","postOrder_05","postOrder_05()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","2","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","postOrder_02","postOrder_02()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","1","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","postOrder_03","postOrder_03()",""
"failed","Sun Jun 18 21:47:14 CST 2023","Sun Jun 18 21:47:14 CST 2023","84","","com.ticket.ticketsystem.ShowsServiceTest","","com.ticket.ticketsystem.ShowsServiceTest","getShowDetailByShowIdTest","getShowDetailByShowIdTest()",""
"passed","Sun Jun 18 22:32:22 CST 2023","Sun Jun 18 22:32:22 CST 2023","2","","com.ticket.ticketsystem.OrderServiceImplTest","","com.ticket.ticketsystem.OrderServiceImplTest","getOrderByUserId_emptyResult","getOrderByUserId_emptyResult()",""
